BankID,Bank,Place
B01159,Bank Rakyat Indonesia, Indonesia
B01160,Bank Rakyat Indonesia Agroniaga, Indonesia
B01161,Bank Refah, Iran
B01162,Bank Republic, Georgia
B01163,Bank Resona Perdania, Indonesia
B01164,Bank Respublika, Azerbaijan
B01165,Bank Rossiya, Russia
B01166,Bank Rossiyskiy Kapital, Russia
B01167,Bank Saderat Iran, Iran
B01168,Bank Saderat PLC, United Kingdom
B01169,Bank Saint Petersburg, Russia
B01170,Bank Sepah, Iran
B01171,Bank Sepah International, United Kingdom
B01172,Bank Severo Vostochny Alliance, Russia
B01173,Bank SGB, Russia
B01174,Bank Silk Way, Azerbaijan
B01175,Bank Simpanan Nasional, Malaysia
B01176,Bank Sinarmas, Indonesia
B01177,Bank SinoPac, Taiwan
B01178,Bank Sohar SAOG, Oman
B01179,Bank Solidarnost, Russia
B01180,Bank Soyuz, Russia
B01181,Bank Standard, Azerbaijan
B01182,Bank Tabungan Negara, Indonesia
B01183,Bank Tabungan Pensiunan Nasional, Indonesia
B01184,Bank Tavricheskiy, Russia
B01185,Bank Technique, Azerbaijan
B01186,Bank Tejarat, Iran
B01187,Bank Tolubay, Kyrgyzstan
B01188,Bank Uralsib, Russia
B01189,Bank Victoria International, Indonesia
B01190,Bank Vozrozhdenie, Russia
B01191,Bank West, Canada
B01192,Bank Windhoek, Namibia
B01193,Bank Windu Kentjana International, Indonesia
B01194,Bank Winter & Co, Austria
B01195,Bank Woori Indonesia, Indonesia
B01196,Bank Yahav for Government Employees, Israel
B01197,Bank Zachodni WBK, Poland
B01198,Bank Zarechye, Russia
B01199,Banka Celje, Slovenia
B01200,Banka Ekonomike, Kosovo
B01201,Banka Kombetare Tregtare, Albania
B01202,Banka Koper, Slovenia
B01203,Banka Societe Generale Albania, Albania
B01204,BankAtlantic Bancorp, United States
B01205,Bankaus Carl Spangler & Co, Austria
B01206,BankDhofar, Oman
B01207,Bankfirst Corporation, United States
B01208,Bankhaus Schelhammer & Schattera, Austria
B01209,Bankinter, Spain
B01210,Bankmanagers Corp, United States
B01211,Bankmecu, Australia
B01212,BankMed, Lebanon
B01213,BankMuscat, Oman
B01214,BankMuscat International Bahrain, Bahrain
B01215,BankNordik, Faroe Islands
B01216,Bankoa Credit Agricole Spain, Spain
B01217,BankPozitif Turkey, Turkey
B01218,BankPozitiv Kazakhstan, Kazakhstan
B01219,BankUnited, United States
B01220,Banner Corporation, United States
B01221,Banorte USA Corporation, United States
B01222,Banplus, Venezuela
B01223,Banque Agricole et Commercial du Burkina, Burkina Faso
B01224,Banque Al Baraka Algerie, Algeria
B01225,Banque Al Wava Mauritanienne Islamique, Mauritania
B01226,Banque Alternative, Switzerland
B01227,Banque Atlantique Cameroon, Cameroon
B01228,Banque Atlantique de Cote d'Ivoire, Côte d`Ivoire
B01229,Banque Audi Switzerland, Switzerland
B01230,Banque Bayerische Landesbank Luxembourg, Luxembourg
B01231,Banque Bemo, Lebanon
B01232,Banque Bemo Saudi Frasi, Syria
B01233,Banque Cantonale de Fribourg, Switzerland
B01234,Banque Cantonale de Geneve, Switzerland
B01235,Banque Cantonale du Jura, Switzerland
B01236,Banque Cantonale du Valais, Switzerland
B01237,Banque Cantonale Neuchateloise, Switzerland
B01238,Banque Cantonale Vaudoise, Switzerland
B01239,Banque Commerciale du Burundi, Burundi
B01240,Banque Commerciale du Congo, DRC Congo
B01241,Banque Commerciale du Sahel, Mali
B01242,Banque Commerciale Internationale, Republic of Congo
B01243,Banque Congolaise, DRC Congo
B01244,Banque Cramer, Switzerland
B01245,Banque de Commerce et de Placements, Switzerland
B01246,Banque de Credit de Bujumbura, Burundi
B01247,Banque de Developpement du Mali, Mali
B01248,Banque de Financement des Petites et Moyennes Entreprises, Tunisia
B01249,Banque de l'Habitat, Tunisia
B01250,Banque de l'Habitat de Cote d'Ivoire, Côte d`Ivoire
B01251,Banque de l'Habitat du Benin, Benin
B01252,Banque de l'Habitat du Mali, Mali
B01253,Banque de l'Habitat du Senegal, Senegal
B01254,Banque de l'Union Haitienne, Haiti
B01255,Banque de Tahiti, French Polynesia
B01256,Banque de Tunisie, Tunisia
B01257,Banque de Tunisie et des Emirats, Tunisia
B01258,Banque des Mascareignes, Mauritius
B01259,Banque du Caire, Egypt
B01260,Banque du Maghreb Arabe pour l'Investissement & le Commerce, Algeria
B01261,Banque et Caisse d'Epargne de l'Etat, Luxembourg
B01262,Banque Exterieure d'Algerie, Algeria
B01263,Banque Francaise Commerciale Ocean Indien, France
B01264,Banque Franco Tunisienne, Tunisia
B01265,Banque Heritage, Uruguay
B01266,Banque Int pour le Comm & l'Ind Guinea, Guinea
B01267,Banque Intercontinentale Arabe, France
B01268,Banque Internationale a Luxembourg, Luxembourg
B01269,Banque Internationale Arabe de Tunisie, Tunisia
B01270,Banque Internationale de Credit, DRC Congo
B01271,Banque Internationale du Benin, Benin
B01272,Banque Internationale du Burkina, Burkina Faso
B01273,Banque Internationale du Cameroun pour l'Epargne et le Credit, Cameroon
B01274,Banque Internationale pour l'Afrique au Congo, DRC Congo
B01275,Banque Internationale pour l'Afrique Niger, Niger
B01276,Banque Internationale pour le Commerce et l'Industrie de la Cote d'Ivoire, Côte d`Ivoire
B01277,Banque Internationale pour le Commerce et l'Industrie du Gabon, Gabon
B01278,Banque Internationale pour le Commerce et l'Industrie du Mali, Mali
B01279,Banque Internationale pour le Commerce et l'Industrie du Senegal, Senegal
B01280,Banque Internationale pour le Mali, Mali
B01281,Banque Islamique de Guinea, Guinea
B01282,Banque Islamique du Niger pour le Commerce et l'Investissement, Niger
B01283,Banque Islamique du Senegal, Senegal
B01284,Banque Libano-Francaise, Lebanon
B01285,Banque Malgache de l'Ocean Indien, Madagascar
B01286,Banque Malgache de l'Ocean Indien, Madagascar
B01287,Banque Marocaine pour le Commerce et l'Industrie, Morocco
B01288,Banque Mauritanienne pour le Commerce International, Mauritania
B01289,Banque Misr, Egypt
B01290,Banque Misr France, France
B01291,Banque Misr Lebanon, Lebanon
B01292,Banque Nationale Agricole, Tunisia
B01293,Banque Nationale d'Algerie, Algeria
B01294,Banque Nationale de Credit, Haiti
B01295,Banque Nationale d'Investissement, Côte d`Ivoire
B01296,Banque of Africa Democratic Republic of Congo, DRC Congo
B01297,Banque of Africa Mer Rouge, Djibouti
B01298,Banque Pasche, Switzerland
B01299,Banque Piguet & CIE, Switzerland
B01300,Banque Populaire Haitienne, Haiti
B01301,Banque Populaires du Rwanda, Rwanda
B01302,Banque pour le Commerce et l'Industrie Mer Rouge, Djibouti
B01303,Banque pour le Commerce Exterieur Lao, Laos
B01304,Banque pour le Financement de l'Agriculture, Côte d`Ivoire
B01305,Banque pour l'Industrie et le Commerce Comores, Comoros
B01306,Banque Privee Edmond de Rothschild Group, Switzerland
B01307,Banque Profil de Gestion, Switzerland
B01308,Banque Raiffeisen, Luxembourg
B01309,Banque Safra Luxembourg, Luxembourg
B01310,Banque Sahelo Saharienne pour l'Investiment et le Commerce Benin, Benin
B01311,Banque Sahelo Saharienne pour l'Investiment et le Commerce Burkina Faso, Burkina Faso
B01312,Banque Sahelo Saharienne pour l'Investiment et le Commerce Gambia, Gambia
B01313,Banque Sahelo Saharienne pour l'Investiment et le Commerce Mali, Mali
B01314,Banque Sahelo Saharienne pour l'Investiment et le Commerce Niger, Niger
B01315,Banque Sahelo Saharienne pour l'Investiment et le Commerce Senegal, Senegal
B01316,Banque Sahelo Saharienne pour l'Investissement et le Commerce, Libya
B01317,Banque Sahelo Saharienne pour l'Investissement et le Commerce Ghana, Ghana
B01318,Banque Saudi Fransi, Saudi Arabia
B01319,Banque SBM Madagascar, Madagascar
B01320,Banque Socredo, French Polynesia
B01321,Banque Syz & Co, Switzerland
B01322,Banque Tunisienne de Solidarite, Tunisia
B01323,Banque Tuniso Koweitienne, Tunisia
B01324,Banque Tuniso Libyenne, Tunisia
B01325,Banque Zitouna, Tunisia
B01326,Bansi, Mexico
B01327,Banterra Corp, United States
B01328,Baoshang Bank, China
B01329,Baotou City Commercial Bank, China
B01330,Baoviet Bank, Vietnam
B01331,Bar Harbor Bankshares, United States
B01332,Baraboo Bancorporation, United States
B01333,Barclays, United Kingdom
B01334,Barclays Africa Group, South Africa
B01335,Barclays Bank Botswana, Botswana
B01336,Barclays Bank Brazil, Brazil
B01337,Barclays Bank Egypt, Egypt
B01338,Barclays Bank Kenya, Kenya
B01339,Barclays Bank Mauritius, Mauritius
B01340,Barclays Bank Mexico, Mexico
B01341,Barclays Bank Mozambique, Mozambique
B01342,Barclays Bank of Ghana, Ghana
B01343,Barclays Bank Russia, Russia
B01344,Barclays Bank Seychelles, Seychelles
B01345,Barclays Bank Spain, Spain
B01346,Barclays Bank Tanzania, Tanzania
B01347,Barclays Bank Uganda, Uganda
B01348,Barclays Bank Zambia, Zambia
B01349,Barclays Bank Zimbabwe, Zimbabwe
B01350,Barclays Capital Inc, United States
B01351,Barclays Delaware Holdings, United States
B01352,Barclays Delaware Holdings, United States
B01353,Barwa Bank, Qatar
B01354,Basellandschaftliche Kantonalbank, Switzerland
B01355,Basisbank, Georgia
B01356,Basler Kantonalbank, Switzerland
B01357,BAWAG Banka Slovenia, Slovenia
B01358,BAWAG Malta Bank, Malta
B01359,Bayerische Landesbank, Germany
B01360,Baylake Corp, United States
B01361,BB&T Corp, United States
B01362,BBCN Bancorp, United States
B01363,BBVA Banco Frances, Argentina
B01364,BBVA Chile, Chile
B01365,BBVA Colombia, Colombia
B01366,BBVA Continental, Peru
B01367,BBVA Paraguay, Paraguay
B01368,BBVA Portugal, Portugal
B01369,BBVA Provincial, Venezuela
B01370,BBVA Suiza, Switzerland
B01371,BBVA Uruguay, Uruguay
B01372,BBVA USA Bancshares, United States
B01373,BCB Bancorp, United States
B01374,BCB Holdings, Belize
B01375,BCT Bank International, Panama
B01376,BDO Unibank, Philippines
B01377,Beacon Bancorp, United States
B01378,Beijing Rural Commercial Bank, China
B01379,Belagroprombank, Belarus
B01380,Belarusbank, Belarus
B01381,Belarusian Swiss Bank, Belarus
B01382,Belarusky Narodny Bank, Belarus
B01383,Belfius, Belgium
B01384,Belgazprombank, Belarus
B01385,Belinvestbank, Belarus
B01386,Bellevue Group, Switzerland
B01387,Belmont Savings Bank, United States
B01388,Belvnesheconombank, Belarus
B01389,Bendigo and Adelaide Bank, Australia
B01390,Berkshire Bancorp, United States
B01391,Berkshire Hills Bancorp, United States
B01392,Berlin Hyp, Germany
B01393,Berliner Volksbank, Germany
B01394,Bermuda Commercial Bank, Bermuda
B01395,Berner Kantonalbank, Switzerland
B01396,BES Investimento do Brasil, Brazil
B01397,Bessemer Group, United States
B01398,BFV Societe Generale, Madagascar
B01399,BGFI International, France
B01400,BGFIBank, Gabon
B01401,BGFIBank Benin, Benin
B01402,BGFIBank Cameroun, Cameroon
B01403,BGFIBank Congo, Republic of Congo
B01404,BGFIBank Cote d’Ivoire, Côte d`Ivoire
B01405,BGFIBank DRC Congo, DRC Congo
B01406,BGFIBank Guinee Equatoriale, Equatorial Guinea
B01407,BGFIBank Madagascar, Madagascar
B01408,BGFIBank Sao Tome and Principe, Samoa
B01409,BGL BNP Paribas, Luxembourg
B01410,BHF Bank, Germany
B01411,Bhutan National Bank, Bhutan
B01412,BHW Group, Germany
B01413,BIAO Cote d'Ivoire, Côte d`Ivoire
B01414,Bidvest Bank, South Africa
B01415,Bigbank, Estonia
B01416,BIMB Holdings, Malaysia
B01417,Birlikbank, Azerbaijan
B01418,BKS Bank, Austria
B01419,BKS Bank, Croatia
B01420,Black Sea Bank for Development & Reconstruction, Ukraine
B01421,Blackhawk Bancorporation, United States
B01422,BLOM Bank, Lebanon
B01423,Blom Bank, Switzerland
B01424,BLOM Bank Egypt, Egypt
B01425,BLOM Bank France, France
B01426,Blue Nile Mashreq Bank, Sudan
B01427,Blue Ridge Bancshares, United States
B01428,BMCE Bank Group, Morocco
B01429,BMO Financial Corp, United States
B01430,BN Bank ASA, Norway
B01431,BNC Bancorp, United States
B01432,BNH Financial, United States
B01433,BNI Madagascar, Madagascar
B01434,BNP Paribas, France
B01435,BNP Paribas Argentina, Argentina
B01436,BNP Paribas Bank Polska, Poland
B01437,BNP Paribas Bulgaria, Bulgaria
B01438,BNP Paribas China, China
B01439,BNP Paribas Colombia, Colombia
B01440,BNP Paribas Egypt, Egypt
B01441,BNP Paribas El Djazair, Algeria
B01442,BNP Paribas Fortis, Belgium
B01443,BNP Paribas Hungary, Hungary
B01444,BNP Paribas Indonesia, Indonesia
B01445,BNP Paribas Malaysia, Malaysia
B01446,BNP Paribas Portugal, Portugal
B01447,BNP Paribas Russia, Russia
B01448,Bobar Banka, Bosnia-Herzegovina
B01449,Boiling Springs MHC, United States
B01450,BOK Financial Corporation, United States
B01451,Bombay Mercantile Cooperative Bank, India
B01452,Bond Street Holdings, United States
B01453,Booyoung Khmer Bank, Cambodia
B01454,Bosna Bank International, Bosnia-Herzegovina
B01455,Bosshard Banco, United States
B01456,Boston Private Financial Holdings, United States
B01457,Botswana Savings Bank, Botswana
B01458,Bou Bancorp, United States
B01459,Boubyan Bank, Kuwait
B01460,Boyle Bancorp, United States
B01461,BPS-Sberbank, Belarus
B01462,BRAC Bank Afghanistan, Afghanistan
B01463,BRAC Bank Limited, Bangladesh
B01464,Bradesco Europa, Luxembourg
B01465,Bradford & Bingley, United Kingdom
B01466,Bramer Bank, Mauritius
B01467,Brand Group Holdings, United States
B01468,Bratskiy Narodny Bank, Russia
B01469,BRD Groupe Societe Generale, Romania
B01470,BRED Bank, Fiji
B01471,Bremer Financial Corp, United States
B01472,Bremer Kredit Bank, Germany
B01473,Bremer Landesbank, Germany
B01474,Bridge Bancorp, United States
B01475,Bridge Capital Holdings, United States
B01476,Bridgeview Bancorp, United States
B01477,Briscoe Ranch, United States
B01478,British Arab Commercial Bank, United Kingdom
B01479,Broadway Bancshares, United States
B01480,Brookline Bancorp, United States
B01481,Brown Shipley, United Kingdom
B01482,Bryn Mawr Bank Corp, United States
B01483,BS Financial Group, South Korea
B01484,BSB Bancorp, United States
B01485,BTA Bank, Kazakhstan
B01486,BTA Bank, Georgia
B01487,BTA Bank Armenia, Armenia
B01488,BTA Bank Belarus, Belarus
B01489,BTC Financial Corp, United States
B01490,Budapest Bank, Hungary
B01491,Bulgarian American Credit Bank, Bulgaria
B01492,Bulgarian Development Bank, Bulgaria
B01493,Bumiputra Commerce Bank, Malaysia
B01494,Bunna International Bank, Ethiopia
B01495,Burgan Bank, Kuwait
B01496,Burgan Bank Turkey, Turkey
B01497,Burj Bank, Pakistan
B01498,Burke and Herbert Bank and Trust, United States
B01499,Butterfield Bank Cayman, Cayman Islands
B01500,Butterfield Bank Group, Bermuda
B01501,Butterfield Bank UK, United Kingdom
B01502,Byblos Bank, Lebanon
B01503,Byblos Bank Africa Sudan, Sudan
B01504,Byblos Bank Armenia, Armenia
B01505,Byblos Bank Congo, DRC Congo
B01506,Byblos Bank Europe Belgium, Belgium
B01507,Byblos Bank Syria, Syria
B01508,BystroBank, Russia
B01509,BZ Bank, Switzerland
B01510,C&F Financial Corporation, United States
B01511,C. Hoare & Co, United Kingdom
B01512,C1 Financial, United States
B01513,Cacanska Banka, Serbia
B01514,Cadence Bancorp, United States
B01515,Cadence Financial Corporation, United States
B01516,Cagamas Berhad, Malaysia
B01517,Cairo Amman Bank, Jordan
B01518,Caisse Commune d'Epargne et d'Investissement Guinee Equatoriale, Equatorial Guinea
B01519,Caixa de Sabadell, Spain
B01520,Caixa d'Estalvis de Terrassa, Spain
B01521,Caixa d'Estalvis Laietana, Spain
B01522,Caixa Economica de Cabo Verde, Cape Verde
B01523,Caixa Economica Federal, Brazil
B01524,Caixa Economica Montepio Geral, Portugal
B01525,Caixa Geral de Depositos, Portugal
B01526,Caixa Ontinyent, Spain
B01527,Caixa Penedes, Spain
B01528,Caixabank, Spain
B01529,Caja Circulo, Spain
B01530,Caja de Ahorros, Panama
B01531,Caja de Ahorros y Monte de Piedad de Madrid, Spain
B01532,Caja de Ahorros y Monte de Piedad de Navarra, Spain
B01533,Caja de Badajoz, Spain
B01534,Caja de Burgos, Spain
B01535,Caja de Credito Cuenca Cooperativa, Argentina
B01536,Caja de credito La Capital del Plata, Argentina
B01537,Caja General de Ahorros de Canarias, Spain
B01538,Caja General de Ahorros de Granada, Spain
B01539,Caja Insular de Ahorros de Canarias, Spain
B01540,Caja Laboral Popular-Laboral Kutxa, Spain
B01541,Cal Bank, Ghana
B01542,California First National Bancorp, United States
B01543,Calvin B Taylor Bankshares, United States
B01544,Cambodia Asia Bank, Cambodia
B01545,Cambodia Mekong Bank, Cambodia
B01546,Cambodian Commercial Bank, Cambodia
B01547,Cambodian Public Bank, Cambodia
B01548,Cambridge Bancorp, United States
B01549,Cambridge Financial Group, United States
B01550,Camco Financial Corporation, United States
B01551,Camden National Corporation, United States
B01552,Canadia Bank, Cambodia
B01553,Canadian Imperial Bank of Commerce, Canada
B01554,Canadian Western Bank, Canada
B01555,Canandaigua National Corporation, United States
B01556,Canara Bank, India
B01557,Cape Cod Five Mutual Company, United States
B01558,Capital Bank, Panama
B01559,Capital Bank, Botswana
B01560,Capital Bank, Haiti
B01561,Capital Bank, Mongolia
B01562,Capital Bank Corporation, United States
B01563,Capital Bank Financial Corp, United States
B01564,Capital Bank of Jordan, Jordan
B01565,Capital City Bank Group, United States
B01566,Capital G Bank, Bermuda
B01567,Capital One Bank, United States
B01568,Capital One Financial Corporation, United States
B01569,Capitec Bank Holdings, South Africa
B01570,Capitol Bancorp, United States
B01571,Capitol Bancorporation, United States
B01572,Capitol Federal Financial, United States
B01573,Capitron Bank, Mongolia
B01574,Cardinal Financial Corporation, United States
B01575,Caribbean Mercantile Bank, Aruba
B01576,Carlile Bancshares, United States
B01577,Cascade Bancorp, United States
B01578,Cashmere Valley Financial Corporation, United States
B01579,Cass Information Systems, United States
B01580,Cassa dei Risparmi di Forli e della Romagna, Italy
B01581,Cassa di Risparmio del Friuli Venezia Giulia, Italy
B01582,Cassa di Risparmio della Provincia di Chieti, Italy
B01583,Cassa di Risparmio della Provincia di Viterbo, Italy
B01584,Cassa di Risparmio di Alessandria, Italy
B01585,Cassa di Risparmio di Asti, Italy
B01586,Cassa di Risparmio di Biella e Vercelli, Italy
B01587,Cassa di Risparmio di Bolzano-Sudtiroler Sparkasse, Italy
B01588,Cassa di Risparmio di Cento, Italy
B01589,Cassa di Risparmio di Cesena, Italy
B01590,Cassa di Risparmio di Ferrara, Italy
B01591,Cassa di Risparmio di Genova e Imperia, Italy
B01592,Cassa di Risparmio di Pistoia e Pescia, Italy
B01593,Cassa di Risparmio di Ravenna, Italy
B01594,Cassa di Risparmio di Rimini, Italy
B01595,Cassa di Risparmio di San Miniato, Italy
B01596,Cassa di Risparmio di Venezia, Italy
B01597,Cassa di Risparmio di Volterra, Italy
B01598,Catalunya Banc, Spain
B01599,Cathay General Bancorp, United States
B01600,Cathay United Bank, Taiwan
B01601,Cathay United Bank Cambodia, Cambodia
B01602,Catholic Syrian Bank, India
B01603,Cavmont Bank, Zambia
B01604,Caye International Bank, Belize
B01605,Cayman National Corporation, Cayman Islands
B01606,CBAO Groupe Attijariwafa bank, Senegal
B01607,CBFH, United States
B01608,CBH Compagnie Bancaire Helvetique, Switzerland
B01609,CBS Banc-Corp, United States
B01610,CBTC Capital Corp, United States
B01611,CCB Financial Corporation, United States
B01612,CDG Capital, Morocco
B01613,CEC Bank, Romania
B01614,Cecabank, Spain
B01615,Centar Banka, Croatia
B01616,Centenary Bank, Uganda
B01617,Center Bancorp, United States
B01618,Center Invest Bank, Russia
B01619,Centerstate Banks, United States
B01620,Central Bancompany, United States
B01621,Central Bancorp, United States
B01622,Central Bancorporation, United States
B01623,Central Bancshares, United States
B01624,Central Bancshares, United States
B01625,Central Bank of India, India
B01626,Central Community Corporation, United States
B01627,Central Cooperative Bank, Bulgaria
B01628,Central of Kansas, United States
B01629,Central Pacific Financial Corp, United States
B01630,Centrobanca, Italy
B01631,CentroCredit Bank, Russia
B01632,Centrue Financial Corporation, United States
B01633,Century Bancorp, United States
B01634,Century Banking Corporation, Mauritius
B01635,CERA Bank, Belgium
B01636,CertusHoldings, United States
B01637,Ceska Sporitelna, Czech Republic
B01638,Ceskoslovenska Obchodni Banka Czech Republic, Czech Republic
B01639,Cetelem, Russia
B01640,CfC Stanbic Bank, Kenya
B01641,Chambers Bancshares, United States
B01642,Chang Hwa Bank, Taiwan
B01643,Chang'an Bank, China
B01644,Changchun Rural Commercial Bank, China
B01645,Charity Bank, United Kingdom
B01646,Charter Bankshares, United States
B01647,Chase Bank, Kenya
B01648,Chelindbank, Russia
B01649,Chemical Financial Corp, United States
B01650,Chemung Financial Corp, United States
B01651,Chengdu Rural Commercial Bank, China
B01652,Chiba Bank, Japan
B01653,Chiba Kogyo Bank, Japan
B01654,Chicopee Bancorp, United States
B01655,Chikuho Bank, Japan
B01656,China Banking Corporation, Philippines
B01657,China Bohai Bank, China
B01658,China Citic Bank, China
B01659,China CITIC Bank International, Hong Kong
B01660,China Construction Bank Asia, Hong Kong
B01661,China Construction Bank Corporation, China
B01662,China Construction Bank Macau, Macao
B01663,China Construction Bank UK, United Kingdom
B01664,China Development Industrial Bank, Taiwan
B01665,China Everbright Bank, China
B01666,China Guangfa Bank, China
B01667,China Merchants Bank, China
B01668,China Minsheng Bank, China
B01669,China Resources Bank of Zhuhai, China
B01670,China Zheshang Bank, China
B01671,Chinatrust Commercial Bank, Taiwan
B01672,Chinatrust Commercial Bank Philippines, Philippines
B01673,Chinatrust India, India
B01674,Chinatrust Indonesia, Indonesia
B01675,Chiyu Banking Corporation, Hong Kong
B01676,Choice Bank, Belize
B01677,Chong Hing Bank, Hong Kong
B01678,Chongqing Rural Commercial Bank, China
B01679,Chongqing Three Gorges Bank, China
B01680,Chugoku Bank, Japan
B01681,Chukyo Bank, Japan
B01682,CI Banco, Mexico
B01683,CIB Bank, Hungary
B01684,CIB Marine Bancshares, United States
B01685,Cibank, Bulgaria
B01686,Cihan Bank for Islamic Investment & Finance, Iraq
B01687,CIMB Cambodia, Cambodia
B01688,CIMB Group, Malaysia
B01689,CIMB Islamic Bank, Malaysia
B01690,CIMB Niaga, Indonesia
B01691,CIMB Thai, Thailand
B01692,CIT Group, United States
B01693,Citadele Banka, Latvia
B01694,Citadele bankas, Lithuania
B01695,Citco Community Bancshares, United States
B01696,Citibank Argentina, Argentina
B01697,Citibank Bangladesh, Bangladesh
B01698,Citibank Brazil, Brazil
B01699,Citibank China, China
B01700,Citibank Colombia, Colombia
B01701,Citibank Costa Rica, Costa Rica
B01702,Citibank Ecuador, Ecuador
B01703,Citibank El Salvador, El Salvador
B01704,Citibank Europe, Ireland
B01705,Citibank Guatemala, Guatemala
B01706,Citibank Haiti, Haiti
B01707,Citibank Honduras, Honduras
B01708,Citibank Hungary, Hungary
B01709,Citibank India, India
B01710,Citibank Indonesia, Indonesia
B01711,Citibank Jamaica, Jamaica
B01712,Citibank Japan, Japan
B01713,Citibank Kazakhstan, Kazakhstan
B01714,Citibank Korea, South Korea
B01715,Citibank Malaysia, Malaysia
B01716,Citibank Nicaragua, Nicaragua
B01717,Citibank Nigeria, Nigeria
B01718,Citibank Panama, Panama
B01719,Citibank Paraguay, Paraguay
B01720,Citibank Peru, Peru
B01721,Citibank Romania, Romania
B01722,Citibank Slovakia, Slovakia
B01723,Citibank Taiwan, Taiwan
B01724,Citibank Tanzania, Tanzania
B01725,Citibank Thailand, Thailand
B01726,Citibank Tunisia, Tunisia
B01727,Citibank Turkey, Turkey
B01728,Citibank Uganda, Uganda
B01729,Citibank Ukraine, Ukraine
B01730,Citibank Uruguay, Uruguay
B01731,Citibank Venezuela, Venezuela
B01732,Citigroup, United States
B01733,Citizens and Northern Corporation, United States
B01734,Citizens Bancorp Investment, United States
B01735,Citizens Bancshares Co, United States
B01736,Citizens Bank Guyana, Guyana
B01737,Citizens Bank Holding, United States
B01738,Citizens National Banc Corp, United States
B01739,Citizens National Bancorp, United States
B01740,Citizens Union Bancorp of Shelbyville, United States
B01741,City Holding Co, United States
B01742,City National Corporation, United States
B01743,City Union Bank, India
B01744,Citywide Banks of Colorado, United States
B01745,Clayton Bancorp, United States
B01746,Clearing House Bank, Ukraine
B01747,Close Brothers Group, United Kingdom
B01748,Clydesdale Bank, United Kingdom
B01749,CM Florida Holdings, United States
B01750,CNB Bancshares, United States
B01751,CNB Corporation, United States
B01752,CNB Financial Corporation, United States
B01753,CoBiz Financial, United States
B01754,Colony Bankcorp, United States
B01755,Colonya Caixa Pollenca, Spain
B01756,Columbia Banking System, United States
B01757,Comerica, United States
B01758,Comertbank, Moldova
B01759,Commerce Bancshares, United States
B01760,Commerce Bancshares Corp, United States
B01761,Commerce Bank and Trust Holding Company, United States
B01762,Commercial Bank ad Budva, Montenegro
B01763,Commercial Bank International, United Arab Emirates
B01764,Commercial Bank Kyrgyzstan, Kyrgyzstan
B01765,Commercial Bank of Africa, Kenya
B01766,Commercial Bank of Africa Tanzania, Tanzania
B01767,Commercial Bank of Cameroon, Cameroon
B01768,Commercial Bank of Ceylon, Sri Lanka
B01769,Commercial Bank of Dubai, United Arab Emirates
B01770,Commercial Bank of Eritrea, Eritrea
B01771,Commercial Bank of Ethiopia, Ethiopia
B01772,Commercial Bank of Kaifeng, China
B01773,Commercial Bank of Kuwait, Kuwait
B01774,Commercial Bank of Qatar, Qatar
B01775,Commercial Bank of Syria, Syria
B01776,Commercial Bank of Zimbabwe, Zimbabwe
B01777,Commercial Industrial Bank, Ukraine
B01778,Commercial International Bank Egypt, Egypt
B01779,Commercial Investment Bank, Ukraine
B01780,Commerzbank, Germany
B01781,Commerzbank Eurasija, Russia
B01782,Commerzbank Hungary, Hungary
B01783,Commerzbank International, Luxembourg
B01784,Commonwealth Bank, Bahamas
B01785,Commonwealth Bank Europe, Malta
B01786,Commonwealth Bank Group, Australia
B01787,Commonwealth Bank India, India
B01788,Commonwealth Bank Indonesia, Indonesia
B01789,Community & Southern Holdings, United States
B01790,Community Bancorp, United States
B01791,Community Bancshares of Mississippi, United States
B01792,Community Bank Shares of Indiana, United States
B01793,Community Bankers Trust Corporation, United States
B01794,Community Bankshares, United States
B01795,Community Bankshares, United States
B01796,Community Financial Services, United States
B01797,Community Trust Bancorp, United States
B01798,Community West Bancshares, United States
B01799,CommunityOne Bancorp, United States
B01800,Compagnie Financiere E. de Rothschild, France
B01801,Concordia Capital Corporation, United States
B01802,Connectone Bancorp, United States
B01803,Consolidated Bank of Kenya, Kenya
B01804,Construction and Business Bank, Ethiopia
B01805,Consubanco, Mexico
B01806,Consumer Finance Company, Russia
B01807,Continental Bank Benin, Benin
B01808,Converse Bank, Armenia
B01809,Coop Bank, Switzerland
B01810,Cooperative Bank, Macedonia
B01811,Cooperative Bank, Myanmar
B01812,Cooperative Bank, New Zealand
B01813,Cooperative Bank of Kenya, Kenya
B01814,Cooperative Central Bank, Cyprus
B01815,Coppermark Bancshares, United States
B01816,Corealcredit Bank, Germany
B01817,Corner Bank, Switzerland
B01818,CorpBanca, Chile
B01819,Corporacion BCT, Costa Rica
B01820,Corporate Commercial Bank, Bulgaria
B01821,Corporation Bank, India
B01822,Cosmos Bank, India
B01823,Cosmos Bank Taiwan, Taiwan
B01824,Cota Commercial Bank, Taiwan
B01825,Country Agencies & Investments, United States
B01826,Coventry Building Society, United Kingdom
B01827,Crane Bank, Uganda
B01828,CRDB Bank, Tanzania
B01829,Credicorp Bank, Panama
B01830,Credigen Bank, Hungary
B01831,Credins Bank, Albania
B01832,Crediscotia Financiera, Peru
B01833,Credit Agricole, France
B01834,Credit Agricole Albania, Albania
B01835,Credit Agricole Bulgaria, Bulgaria
B01836,Credit Agricole CIB, France
